round,district,selected,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6
1,Herttoniemi,False,0.6331643,0.00465142,0.15980314,0.004626607,0.0046319496,0.18849659,0.0046260185
2,Oulunkylä,False,0.4725173,0.02386982,0.02385547,0.02386932,0.023841936,0.023850251,0.4081959
1,Mellunkylä,False,0.005990036,0.0059726574,0.46203122,0.005963039,0.05329721,0.29703486,0.16971101
2,Ullanlinna,False,0.007164186,0.0071671535,0.0071857558,0.0071601225,0.9570117,0.007158126,0.007152947
2,Itä-Pakila,False,0.007537077,0.0075241253,0.0075395587,0.007529981,0.0075335903,0.007527741,0.9548079
1,Laajasalo,False,0.004771517,0.5181543,0.3861181,0.0047817472,0.0047763754,0.004774819,0.076623075
2,Malmi,False,0.14774618,0.0034157417,0.0034106812,0.0034116704,0.642486,0.0034206072,0.19610912
1,Kampinmalmi,False,0.001911149,0.0019129466,0.9885293,0.001908554,0.001909051,0.0019162354,0.0019127062
2,Vironniemi,False,0.12898909,0.10361057,0.36377224,0.002518086,0.0025172236,0.39607778,0.0025150152
1,Vartiokylä,False,0.0028745513,0.0028761306,0.51655227,0.0028690882,0.46908772,0.0028687704,0.00287142
1,Kampinmalmi,False,0.0025612803,0.06764074,0.325852,0.0025581536,0.0025584614,0.33800805,0.2608213
2,Suutarila,False,0.0062293736,0.0062200176,0.006251492,0.0062318738,0.0062253997,0.7919181,0.1769238
1,Kampinmalmi,False,0.00798564,0.007974764,0.20140758,0.007946571,0.00797442,0.3033184,0.46339265
2,Vallila,False,0.13369775,0.0023510172,0.0023492048,0.002346857,0.6205221,0.002351946,0.23638114
1,Maunula,False,0.009580629,0.11459209,0.009530366,0.009539793,0.8376772,0.009532627,0.009547326
2,Latokartano,False,0.15254234,0.0043547843,0.004391281,0.20178528,0.004347545,0.0043528886,0.62822586
1,,False,0.005973259,0.005960063,0.5575844,0.41256028,0.005965328,0.0059850127,0.0059717027
1,Kampinmalmi,False,0.06728359,0.5395706,0.1706073,0.002556789,0.07509583,0.0025559063,0.14232993
2,Reijola,False,0.008962179,0.48021892,0.47500238,0.008937313,0.008970241,0.008954489,0.008954469
1,Mellunkylä,False,0.005308181,0.0053120716,0.5135191,0.08345397,0.005300779,0.30157888,0.08552705
1,Vanhakaupunki,False,0.17509103,0.0022032708,0.0022051514,0.002203264,0.8138884,0.002204685,0.002204251
2,Taka-Töölö,False,0.6215678,0.0021423767,0.0021469286,0.0021366123,0.13997735,0.0021428736,0.22988605
1,Herttoniemi,False,0.16407345,0.004790981,0.14269093,0.0047774636,0.18948233,0.15502946,0.3391554
2,,False,0.0046372144,0.00462967,0.5341204,0.3931466,0.054195456,0.0046400893,0.0046306145
1,Vanhakaupunki,False,0.12065518,0.12047404,0.02973791,0.07100813,0.6509537,0.0035867414,0.0035842932
2,Latokartano,False,0.16445987,0.2720406,0.35638124,0.003982105,0.19516912,0.0039767562,0.0039903047
1,Vallila,False,0.13960263,0.0021080074,0.0021080654,0.11696711,0.6492328,0.0021080533,0.0878733
1,Pukinmäki,False,0.0030607977,0.0030454267,0.0030533995,0.0030589676,0.0030552393,0.0030553185,0.98167086
2,Mellunkylä,False,0.002764133,0.2667173,0.348129,0.0027526505,0.37412155,0.0027586163,0.0027567397
1,Malmi,False,0.0025667697,0.18554145,0.15342534,0.0025669304,0.0025614237,0.0025658114,0.65077233
1,Kampinmalmi,False,0.21866913,0.0019898824,0.520275,0.0019900193,0.0019911455,0.2530946,0.001990245
2,Vironniemi,False,0.013004177,0.012996697,0.9220047,0.012994836,0.012994031,0.012998931,0.013006611
1,Pitäjänmäki,False,0.0021097136,0.0021143844,0.09469834,0.0021061767,0.10212616,0.430211,0.36663425
1,Maunula,False,0.1725037,0.60797894,0.005318255,0.005307895,0.005305168,0.19828022,0.005305829
2,Vuosaari,False,0.004338574,0.25979024,0.3478203,0.3749939,0.0043558204,0.0043507237,0.004350462
1,Kampinmalmi,False,0.0028103122,0.07749588,0.65420246,0.0028069965,0.081855945,0.17801587,0.0028125392
2,Kallio,False,0.014325395,0.014330458,0.01430361,0.014337439,0.014307705,0.9140782,0.014317196
2,Malmi,False,0.008971477,0.008976073,0.0089766,0.008983836,0.13679625,0.6268598,0.20043601
1,Latokartano,False,0.0027029812,0.0027043656,0.4562144,0.0027007526,0.0027001854,0.35243586,0.18054147
2,Vironniemi,False,0.0143203,0.4297589,0.4983533,0.014326183,0.0144108115,0.014355318,0.014475216
1,Kampinmalmi,False,0.1668532,0.22359069,0.43806142,0.0029887555,0.0029877808,0.162524,0.0029941702
2,Vallila,False,0.014294762,0.01429145,0.91407067,0.014325729,0.014311342,0.014326168,0.014379908
1,Kaarela,False,0.0028102829,0.0028079695,0.38374186,0.17369738,0.0028172017,0.43130866,0.0028166352
2,Vironniemi,True,0.013028399,0.013022731,0.01301287,0.01302354,0.43256298,0.013019502,0.50232995
1,Kampinmalmi,False,0.21866205,0.0019898824,0.52029085,0.0019900193,0.0019911458,0.25308582,0.001990245
1,Pitäjänmäki,False,0.0037733472,0.0037791652,0.0037806628,0.24825457,0.32152086,0.0037699204,0.41512147
1,Vanhakaupunki,False,0.004632945,0.0046219653,0.004628644,0.0046338495,0.8903394,0.086516336,0.0046269363
1,Kampinmalmi,False,0.20861578,0.05847644,0.4152961,0.26109886,0.0025208779,0.05147312,0.0025187905
2,Alppiharju,False,0.004492578,0.004480361,0.0044813096,0.0044911713,0.004484328,0.9730697,0.0045005484
1,Kampinmalmi,False,0.35488027,0.0022451149,0.16976185,0.08815373,0.002244532,0.38047338,0.0022411356
1,,False,0.0030465738,0.0030466625,0.98170835,0.0030465215,0.0030457575,0.0030543897,0.0030517308
1,Kampinmalmi,False,0.0046229907,0.0046349275,0.0046312152,0.0046324483,0.6328014,0.3440518,0.004625222
2,Pitäjänmäki,True,0.0039861007,0.0039766063,0.0039868876,0.30108422,0.0039818166,0.16560778,0.51737654
1,Kampinmalmi,False,0.010232256,0.1775476,0.010238308,0.46049792,0.32100743,0.010242616,0.010233863
2,Vuosaari,False,0.010262138,0.01026104,0.010237308,0.010235721,0.42305008,0.010242714,0.52571106
1,Kampinmalmi,False,0.0025175207,0.0025124627,0.29251906,0.002519673,0.27506918,0.25494596,0.16991611
2,Jakomäki,False,0.014332153,0.014305446,0.48724556,0.13977847,0.014332952,0.014385129,0.31562027
1,Kampinmalmi,False,0.0026520062,0.0026534423,0.6811552,0.0026483322,0.0026532065,0.002652691,0.30558512
1,Pasila,False,0.0042148684,0.004221487,0.0042191935,0.9746727,0.004234073,0.004210849,0.004226841
2,Vallila,True,0.0044833426,0.00448029,0.0044881436,0.0044777137,0.5793719,0.39821953,0.004479038
1,Kampinmalmi,False,0.552381,0.007541268,0.40983605,0.0075484687,0.007566202,0.0075428193,0.0075842426
2,Vironniemi,False,0.03574921,0.035745695,0.035797022,0.035847936,0.035765857,0.0361824,0.7849119
1,Kampinmalmi,False,0.008951921,0.3824991,0.4049063,0.008971719,0.17676891,0.008944294,0.008957764
2,Reijola,False,0.0031142146,0.0031246573,0.0031129224,0.0031139723,0.9813044,0.003108731,0.003121093
2,Jakomäki,False,0.04762865,0.047628652,0.71405363,0.04774576,0.047628645,0.04768604,0.04762865
1,,False,0.21633825,0.015902152,0.015890114,0.015930166,0.20140359,0.5185804,0.015955348
2,Kallio,False,0.005113232,0.0051181526,0.80033654,0.0051098545,0.17410415,0.0051067066,0.0051113474
1,Kampinmalmi,False,0.3306624,0.0046278704,0.6461467,0.0046746084,0.004625156,0.0046383166,0.004624937
2,Vironniemi,True,0.0025158585,0.002523014,0.21231775,0.18122368,0.13167237,0.002512778,0.46723455
1,,False,0.094474986,0.003678446,0.0036882237,0.0036779803,0.0036847491,0.1853457,0.70544994
