Area,Population,Demographic dependency ratio,Proportion of youth (0-14),Proportion of elderly (65+),Proportion of working age (15-64),Proportion of foreign language,Proportion of finnish and sami,Proportion of swedish,Proportion of males,Proportion of females,Proportion of higher education,Proportion of basic education,Proportion of upper secondary education,Proportion of lower tertiary education,Proportion of one person household,Proportion of four or more persons household,Unemployment rate,Proportion of creative class in workforce,Proportion of non creative class in workforce,Income subject to state taxation euro average,Gini coefficient disposable income,Proportion of buildings constructed before 1980 in total housing stock,Proportion of private rental apartments,Proportion of subsidised rental apartments,Population density,Service points for dog areas per 1000 persons,Service points for parks and green areas per 1000 persons,Service points for playgrounds per 1000 persons,Service points for cultural activities per 1000 persons,Service points for circular economy per 1000 persons,Service points for daycare and pre primary education per 1000 persons,Service points for child and family services per 1000 persons,Service points for social welfare services per 1000 persons
Pitäjänmäki,18553.85714285714,0.48642869762264546,0.15108364253437326,0.17614243458657586,0.6727739228790508,0.2084318748764606,0.7504370354769823,0.041131089646557054,0.4899349365500313,0.5100650634499686,0.180935173958183,0.25918038474360405,0.32176500115004136,0.23811944014817144,0.5114480232020171,0.09988045725480738,11.6,0.29363665449264237,0.7063633455073577,58685.71428571428,29.047619047619047,0.4957855913247198,0.3740958372046708,0.1294911585764739,0.0027382683164769474,0.2695303583036772,0.10781214332147086,0.7546850032502962,0.5390607166073546,0.5929667882680899,1.7789003648042698,0.0,0.5929667882680899
Puistola,20209.85714285714,0.5830318878670817,0.20232598210416408,0.16595291041213936,0.6317211074836965,0.19501916743608833,0.785818080860708,0.019162751703203567,0.4923290608102518,0.5076709391897483,0.1585295432352804,0.2718034516629948,0.34233795521642624,0.22732904988529845,0.3485863356377144,0.182222508170793,10.70952380952381,0.12584217646064635,0.8741578235393536,70650.47619047618,27.238095238095237,0.35232617542551903,0.17440725835972282,0.1525486551416596,0.0026728862267363907,0.09896512639874573,0.09896512639874573,0.39586050559498304,0.6432733215918474,0.5443081951931016,1.7813722751774237,0.0,0.09896512639874573
Pukinmäki,8663.714285714286,0.5793436814520561,0.1542081297838798,0.21256874237293816,0.633223127843182,0.24882189650459202,0.7299378788277668,0.02124022466764101,0.46411448473560246,0.5358855152643975,0.13272834686735327,0.28483809945624633,0.35674986211910187,0.22568369155729837,0.5091925161051802,0.09576238154625874,13.09047619047619,0.2935147030195343,0.7064852969804656,48823.04761904762,24.857142857142858,0.35345185573811955,0.201811482002319,0.31455943531198693,0.004423375453987467,0.23086418913873263,0.23086418913873263,0.34629628370809895,1.731481418540495,0.8080246619855642,3.46296283708099,0.23086418913873263,0.34629628370809895
Reijola,16901.0,0.4651226824101363,0.13411000463201678,0.1833381585459158,0.6825518368220673,0.12168870358113948,0.8048605984766639,0.0734506979421965,0.43750672840399946,0.5624932715960005,0.27800368249939666,0.17303213421470012,0.3040687543471237,0.2448954289387794,0.5652732513064135,0.07940723530157134,9.00952380952381,0.19985825482130268,0.8001417451786973,61721.95238095238,30.523809523809526,0.5881994353704866,0.34438707541410835,0.16465587011869048,0.0037316476998678146,0.11836964925002734,0.17755447387504103,0.5326634216251233,1.0653268432502463,0.0,2.308208160375534,0.0,1.0653268432502463
Suutarila,11454.619047619048,0.6292265645586883,0.19491969889458022,0.19126236955775583,0.613817931547664,0.17008733303414764,0.8056377918531537,0.024274875112698525,0.48539311083478803,0.5146068891652119,0.1243057280755195,0.28232735673508846,0.3587576830087724,0.23460923218061946,0.3364474731769538,0.16862210693794416,9.714285714285714,0.13345152665477386,0.8665484733452262,66249.38095238095,25.857142857142858,0.3590905140480942,0.10826311458777563,0.20018271911619379,0.002701370598540081,0.17461406543370744,0.17461406543370744,0.6111492290179763,0.6984562617348301,0.08730703271685372,3.0557461450898815,0.0,0.17461406543370744
Taka-Töölö,15475.57142857143,0.4126652432557874,0.10704759557477478,0.18505054829451828,0.7079018561307068,0.08111407590072232,0.8216831501935143,0.09720277390576329,0.449720022897263,0.5502799771027369,0.34030189796575055,0.13266504611328106,0.2761245481592323,0.25090850776173595,0.5715740858800629,0.0628476757961449,7.3428571428571425,0.24388086641780898,0.7561191335821911,80382.90476190476,39.0,0.9589199983379505,0.4377519111032144,0.01680939057768665,0.007901381850147486,0.1938761575744715,0.1938761575744715,0.387752315148943,2.132637733319187,0.7755046302978861,1.3571331030213005,0.0,1.098631559588672
Tuomarinkylä,8662.952380952382,0.7205691319679516,0.2290377235074538,0.1897225677981933,0.5812397086943528,0.05338143113601905,0.9165249825705329,0.030093586293447834,0.49235409870078,0.50764590129922,0.3175449751981245,0.1794763951656778,0.2401081112076851,0.26287051842851245,0.19766343082670867,0.2571904648580309,5.680952380952381,0.2914539874407355,0.7085460125592645,112162.14285714286,28.476190476190474,0.29091378572470206,0.03161266801134416,0.07904581738248316,0.0009615730926052381,0.11543722672059742,0.23087445344119492,0.8080605870441824,0.6926233603235848,0.11543722672059742,3.6939912550591196,0.0,0.0
Ullanlinna,24557.14285714286,0.41769309416271583,0.12086513775960153,0.17374949674482268,0.7053853654955757,0.0897029537199443,0.7486023439895014,0.16169470229055413,0.462866475877807,0.537133524122193,0.3552558005621436,0.13418184605957095,0.277187263675689,0.23337508970259627,0.543025433322797,0.07794841348026006,7.414285714285714,0.3705163852149214,0.6294836147850785,115634.76190476191,53.80952380952381,0.9389320973646245,0.40490197687534796,0.00011685903900285238,0.003875743177699909,0.24433796125463683,0.12216898062731842,0.6108449031365922,3.380008464022477,0.12216898062731842,1.3845817804429426,0.0,0.0
Vallila,16854.85714285714,0.30183698864473646,0.11159897583300771,0.1202546932040218,0.7681463309629704,0.09951258358700348,0.8440738713207763,0.056413545092220116,0.4760642139649048,0.5239357860350952,0.2549224273804056,0.1632543045829291,0.3379848494301812,0.24383841860648406,0.58192168317145,0.05553351542746565,9.69047619047619,0.17130982792412297,0.8286901720758768,56324.333333333336,33.285714285714285,0.6045213473495585,0.34305184435145814,0.237188289959874,0.00643149019476841,0.1779922034826787,0.05933073449422621,0.5339766104480361,1.7799220348267875,0.7712995484249412,1.720591300332561,0.5339766104480361,1.8392527693210134
Vanhakaupunki,25408.333333333332,0.47084921456531115,0.1584162671777428,0.16169050649961167,0.6798932263226455,0.11526743574284483,0.8327598930626019,0.05197267119455322,0.4579836275977528,0.5420163724022471,0.25850142669520065,0.19353910728089965,0.31530875051254614,0.2326507155113534,0.4897293188351037,0.10585105517756586,8.966666666666667,0.4836718362713849,0.5163281637286151,60440.95238095238,30.476190476190474,0.5154393728741803,0.2218999074772083,0.34700287485687986,0.004737761998704652,0.0787219011206117,0.11808285168091756,0.5116923572839763,1.3776332696107056,0.47233140672367047,2.4010179841786585,0.0,1.1414675662488705
Vartiokylä,22101.571428571428,0.569071927716689,0.16165121254056317,0.20100066800092603,0.6373481194585107,0.2507493827596048,0.7012477465430746,0.048002870697320406,0.4810063195574762,0.5189936804425238,0.16937864378797035,0.3097167425128806,0.3231491766412055,0.19775543705794335,0.47226896710647076,0.12787806260508341,14.457142857142859,0.14451669227217856,0.8554833077278213,61905.857142857145,32.23809523809524,0.6002368408669758,0.26750619212154575,0.1857309460421526,0.0031167092074611573,0.1357824592465523,0.1357824592465523,0.4526081974885078,1.3125637727166726,0.5883906567350601,2.127258528195987,0.5883906567350601,0.7694339357304633
Vironniemi,12953.761904761905,0.4892010023986437,0.12478964158429331,0.20370577903897902,0.6715045793767276,0.09071765168032836,0.8127406893898491,0.0965416589298225,0.4676290461746228,0.5323709538253771,0.369623961048537,0.1443123288143627,0.2546842658911204,0.2313794442459797,0.46304509385023096,0.0875418220957196,6.800000000000001,0.4386647857182607,0.5613352142817393,108298.38095238095,45.80952380952381,0.8150849278891744,0.3595071891535226,0.034411416605116506,0.006337907747822081,0.3088168325106147,0.07720420812765363,0.8492462894041904,3.705801990127377,0.9264504975318443,2.0073094113189955,0.3088168325106147,0.463225248765922
Vuosaari,38899.28571428572,0.5877386620193319,0.17194716377143884,0.19822232591822445,0.6298305103103367,0.28305267832109127,0.6724352108639595,0.044512110814949164,0.4692428680993104,0.5307571319006896,0.14204713540735986,0.310431509609413,0.3420096300083011,0.20551172497492592,0.47937249624508516,0.11471224901511456,15.69047619047619,0.15430977436915969,0.8456902256308403,53240.52380952381,26.857142857142858,0.25330858984792376,0.24798586673212644,0.21845134443944098,0.002257964708366895,0.15424697528908968,0.1285391460742414,0.33420177979302773,1.2853914607424144,0.1285391460742414,2.5193672630551323,0.33420177979302773,1.0797288270236283
Östersundom,1799.0,0.44409026762620435,0.17409606668733066,0.13336628684855878,0.6925376464641104,0.07345882718355644,0.7508533880063355,0.175687784810108,0.5068150443485322,0.4931849556514678,0.23663103271617913,0.2219564606347185,0.2984380281019479,0.2429744785471544,0.1694513845263466,0.2674635919144083,7.947619047619048,0.31751741242329823,0.6824825875767018,162416.57142857142,44.76190476190476,0.31665618579964777,0.07838266874712009,0.0,6.858429734491466e-05,0.5562934586323532,0.0,1.1125869172647065,4.450347669058826,1.1125869172647065,3.3377607517941192,0.0,1.1125869172647065
